Sample,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Roll,Pitch
0,0.761,0.538,0.366,9.397,3.786,-0.824,55.77,-49.48
1,0.775,0.507,0.390,1.863,2.336,0.076,52.42,-50.45
2,0.873,0.589,0.351,-21.618,-16.229,16.504,59.19,-51.83
3,0.792,0.373,0.532,-39.290,41.382,-2.565,35.04,-50.62
4,0.481,0.333,0.781,-9.504,38.641,20.519,23.08,-29.50
5,0.266,0.434,0.817,23.481,43.618,-8.374,28.00,-16.06
6,0.139,0.694,0.762,16.595,15.076,7.840,42.33,-7.69
7,0.161,0.671,0.728,-3.748,0.969,6.885,42.66,-9.23
8,0.132,0.583,0.791,-26.069,1.916,-3.794,36.38,-7.67
9,0.204,-0.244,0.958,-62.840,-19.435,25.023,-14.26,-11.67
10,0.259,-0.721,0.612,-81.153,6.550,-11.229,-49.67,-15.32
11,0.268,-0.946,0.230,-35.634,13.450,-7.702,-76.34,-15.36
12,0.256,-0.935,0.161,3.626,3.267,0.924,-80.25,-15.12
13,0.259,-0.972,0.164,12.282,5.382,1.191,-80.42,-14.74
14,0.277,-0.765,0.548,47.107,4.718,24.420,-54.38,-16.41
15,0.066,-0.420,0.914,74.885,22.786,12.771,-24.70,-3.75
16,0.016,0.103,0.913,67.160,2.740,7.023,6.41,-0.97
17,0.027,0.637,0.719,33.336,-1.893,33.420,41.52,-1.62
18,0.126,0.683,0.701,-0.092,2.130,-2.473,44.25,-7.36
19,0.103,0.646,0.796,-12.137,2.504,-0.084,39.05,-5.73
20,0.064,0.325,0.930,-76.336,1.389,-1.664,19.29,-3.74
21,0.025,-0.463,0.806,-32.160,-14.229,28.603,-29.88,-1.57
22,0.180,-0.920,0.525,-37.740,15.427,-11.809,-60.28,-9.66
23,0.061,-0.902,0.400,-3.473,2.481,-3.687,-66.07,-3.51
24,0.012,-0.861,0.440,44.611,10.069,0.450,-62.92,-0.74
25,-0.055,-0.553,0.840,64.985,2.893,3.725,-33.37,3.14
26,-0.058,0.072,1.021,53.550,12.473,11.794,4.02,3.25
27,0.007,0.571,0.839,33.351,-26.924,42.107,34.21,-0.40
28,0.077,0.681,0.754,-18.595,5.298,-2.076,42.09,-4.34
29,0.110,0.163,1.012,-71.160,4.038,-18.725,9.17,-6.11
30,0.078,-0.577,0.841,-20.015,3.107,13.412,-34.47,-4.37
31,0.199,-0.812,0.523,-12.901,12.336,0.740,-57.21,-11.62
32,0.202,-0.642,0.683,98.954,-26.198,-12.092,-43.25,-12.17
33,0.570,-0.313,0.806,42.267,-46.115,-27.519,-21.20,-33.39
34,0.849,-0.046,0.544,14.840,-40.229,-11.130,-4.87,-57.22
35,0.943,-0.007,0.331,4.534,-9.229,1.389,-1.14,-70.63
36,0.714,-0.092,0.776,-22.290,100.977,23.496,-6.79,-42.42
37,-0.304,-0.230,0.826,-18.985,108.214,-1.458,-15.54,19.55
38,-0.935,-0.184,0.292,8.061,49.962,22.466,-32.16,69.74
39,-0.779,-0.075,0.357,65.626,-64.550,-31.573,-11.90,64.93
40,0.327,-0.092,1.010,-34.076,-88.206,3.107,-5.18,-17.88
41,0.649,-0.194,0.822,51.389,35.931,-24.687,-13.27,-37.55
42,0.662,0.020,0.757,1.420,-1.550,-4.229,1.51,-41.13
43,0.624,-0.014,0.785,-0.061,2.985,-0.244,-1.00,-38.45
44,0.624,-0.014,0.785,0.160,2.794,-0.038,-1.02,-38.45
45,0.524,-0.032,0.731,3.954,-1.466,-1.305,-2.52,-35.61
46,0.628,-0.011,0.787,-0.191,2.519,-0.122,-0.80,-38.60